Year,Month,Open
1945,01,13.5
1945,02,13.9
1945,03,13.9
1945,04,14.3
1945,05,14.8
1945,06,15.1
1945,07,14.8
1945,08,14.8
1945,09,15.8
1945,10,16.5
1945,11,17.0
1945,12,17.3
1946,01,18.0
1946,02,18.0
1946,03,17.5
1946,04,18.7
1946,05,18.7
1946,06,18.6
1946,07,18.1
1946,08,17.7
1946,09,15.1
1946,10,14.7
1946,11,14.7
1946,12,15.1
1947,01,15.2
1947,02,15.8
1947,03,15.2
1947,04,14.6
1947,05,14.3
1947,06,14.8
1947,07,15.8
1947,08,15.5
1947,09,15.1
1947,10,15.4
1947,11,15.3
1947,12,15.0
1948,01,14.8
1948,02,14.1
1948,03,14.3
1948,04,15.4
1948,05,16.2
1948,06,16.8
1948,07,16.4
1948,08,15.9
1948,09,15.8
1948,10,16.2
1948,11,15.3
1948,12,15.2
1949,01,15.3
1949,02,14.8
1949,03,14.9
1949,04,14.9
1949,05,14.8
1949,06,14.0
1949,07,14.8
1949,08,15.3
1949,09,15.5
1949,10,15.9
1949,11,16.1
1949,12,16.5
1950,01,16.9
1950,02,17.2
1950,03,17.3
1950,04,17.8
1950,05,18.4
1950,06,18.7
1950,07,17.4
1950,08,18.4
1950,09,19.1
1950,10,19.9
1950,11,19.8
1950,12,19.7
1951,01,21.2
1951,02,22.0
1951,03,21.6
1951,04,21.9
1951,05,21.9
1951,06,21.5
1951,07,21.9
1951,08,22.9
1951,09,23.5
1951,10,23.4
1951,11,22.7
1951,12,23.4
1952,01,24.2
1952,02,23.7
1952,03,23.8
1952,04,23.7
1952,05,23.7
1952,06,24.4
1952,07,25.1
1952,08,25.2
1952,09,24.8
1952,10,24.3
1952,11,25.0
1952,12,26.0
1953,01,26.2
1953,02,25.9
1953,03,26.0
1953,04,24.7
1953,05,24.8
1953,06,24.0
1953,07,24.3
1953,08,24.4
1953,09,23.3
1953,10,24.0
1953,11,24.5
1953,12,24.8
1954,01,25.5
1954,02,26.0
1954,03,26.6
1954,04,27.6
1954,05,28.7
1954,06,29.0
1954,07,30.1
1954,08,30.7
1954,09,31.5
1954,10,32.2
1954,11,33.4
1954,12,35.0
1955,01,35.6
1955,02,36.8
1955,03,36.5
1955,04,37.8
1955,05,37.6
1955,06,39.9
1955,07,42.7
1955,08,42.4
1955,09,44.3
1955,10,42.1
1955,11,44.9
1955,12,45.4
1956,01,44.1
1956,02,44.4
1956,03,47.5
1956,04,48.1
1956,05,46.5
1956,06,46.3
1956,07,48.8
1956,08,48.5
1956,09,46.8
1956,10,46.2
1956,11,45.8
1956,12,46.4
1957,01,45.4
1957,02,43.5
1957,03,44.0
1957,04,45.0
1957,05,46.8
1957,06,47.6
1957,07,48.5
1957,08,45.8
1957,09,44.0
1957,10,41.2
1957,11,40.3
1957,12,40.3
1958,01,41.1
1958,02,41.3
1958,03,42.1
1958,04,42.3
1958,05,43.7
1958,06,44.7
1958,07,46.0
1958,08,47.7
1958,09,49.0
1958,10,51.0
1958,11,52.5
1958,12,53.5
1959,01,55.6
1959,02,54.8
1959,03,56.1
1959,04,57.1
1959,05,58.0
1959,06,57.5
1959,07,59.7
1959,08,59.4
1959,09,57.1
1959,10,57.0
1959,11,57.2
1959,12,59.1
1960,01,58.0
1960,02,55.8
1960,03,55.0
1960,04,55.7
1960,05,55.2
1960,06,57.3
1960,07,55.8
1960,08,56.5
1960,09,54.8
1960,10,53.7
1960,11,55.5
1960,12,56.8
1961,01,59.7
1961,02,62.2
1961,03,64.1
1961,04,65.9
1961,05,66.5
1961,06,65.6
1961,07,65.4
1961,08,67.8
1961,09,67.2
1961,10,67.9
1961,11,71.1
1961,12,71.7
1962,01,69.2
1962,02,70.2
1962,03,70.3
1962,04,68.3
1962,05,63.3
1962,06,55.9
1962,07,56.8
1962,08,58.5
1962,09,58.1
1962,10,56.2
1962,11,59.8
1962,12,62.6
1963,01,64.9
1963,02,66.0
1963,03,65.6
1963,04,68.6
1963,05,70.1
1963,06,70.2
1963,07,69.1
1963,08,70.8
1963,09,72.9
1963,10,72.9
1963,11,72.8
1963,12,74.1
1964,01,76.4
1964,02,77.4
1964,03,78.7
1964,04,79.9
1964,05,80.7
1964,06,80.2
1964,07,83.2
1964,08,82.1
1964,09,83.3
1964,10,84.8
1964,11,85.5
1964,12,84.0
1965,01,86.0
1965,02,86.7
1965,03,86.9
1965,04,87.8
1965,05,89.3
1965,06,85.3
1965,07,84.9
1965,08,86.4
1965,09,89.3
1965,10,91.3
1965,11,92.2
1965,12,91.7
1966,01,93.3
1966,02,92.8
1966,03,89.0
1966,04,91.5
1966,05,87.0
1966,06,86.1
1966,07,85.9
1966,08,80.9
1966,09,77.8
1966,10,77.0
1966,11,81.0
1966,12,81.3
1967,01,84.2
1967,02,87.4
1967,03,89.3
1967,04,90.8
1967,05,92.8
1967,06,91.3
1967,07,92.8
1967,08,94.5
1967,09,95.7
1967,10,95.8
1967,11,92.6
1967,12,95.2
1968,01,95.2
1968,02,90.9
1968,03,89.0
1968,04,95.4
1968,05,97.8
1968,06,100.5
1968,07,100.4
1968,08,98.1
1968,09,101.1
1968,10,103.7
1968,11,105.1
1968,12,106.7
1969,01,102.1
1969,02,101.7
1969,03,99.1
1969,04,101.2
1969,05,104.6
1969,06,99.4
1969,07,95.0
1969,08,94.0
1969,09,94.6
1969,10,95.3
1969,11,96.4
1969,12,91.2
1970,01,90.7
1970,02,86.9
1970,03,88.7
1970,04,86.3
1970,05,76.3
1970,06,75.8
1970,07,75.5
1970,08,77.8
1970,09,82.2
1970,10,84.4
1970,11,84.1
1970,12,89.8
1971,01,93.3
1971,02,97.1
1971,03,99.4
1971,04,102.9
1971,05,101.9
1971,06,99.7
1971,07,99.1
1971,08,97.2
1971,09,99.4
1971,10,97.5
1971,11,92.8
1971,12,99.0
1972,01,103.2
1972,02,105.1
1972,03,107.7
1972,04,108.8
1972,05,107.6
1972,06,108.1
1972,07,107.2
1972,08,110.8
1972,09,109.4
1972,10,109.5
1972,11,114.8
1972,12,117.4
1973,01,118.5
1973,02,114.4
1973,03,112.4
1973,04,110.5
1973,05,107.3
1973,06,104.8
1973,07,105.6
1973,08,104.0
1973,09,105.4
1973,10,109.8
1973,11,102.6
1973,12,94.7
1974,01,96.1
1974,02,93.4
1974,03,97.5
1974,04,92.6
1974,05,89.8
1974,06,89.8
1974,07,83.1
1974,08,76.3
1974,09,68.5
1974,10,69.0
1974,11,71.9
1974,12,67.1
1975,01,72.2
1975,02,79.8
1975,03,83.7
1975,04,84.5
1975,05,89.9
1975,06,92.2
1975,07,92.8
1975,08,85.8
1975,09,84.8
1975,10,88.4
1975,11,89.9
1975,12,88.7
1976,01,96.4
1976,02,100.7
1976,03,101.0
1976,04,102.0
1976,05,101.2
1976,06,101.6
1976,07,104.2
1976,08,103.3
1976,09,105.3
1976,10,102.0
1976,11,101.2
1976,12,104.4
1977,01,104.1
1977,02,101.1
1977,03,100.6
1977,04,99.1
1977,05,98.9
1977,06,99.1
1977,07,100.3
1977,08,97.8
1977,09,96.2
1977,10,93.9
1977,11,94.2
1977,12,93.8
1978,01,90.5
1978,02,89.1
1978,03,88.7
1978,04,92.4
1978,05,97.4
1978,06,97.7
1978,07,97.0
1978,08,103.8
1978,09,103.9
1978,10,101.0
1978,11,94.7
1978,12,96.0
1979,01,99.5
1979,02,98.4
1979,03,99.9
1979,04,102.1
1979,05,99.8
1979,06,101.5
1979,07,102.7
1979,08,107.1
1979,09,108.6
1979,10,104.7
1979,11,103.5
1979,12,107.7
1980,01,110.6
1980,02,115.4
1980,03,105.2
1980,04,102.8
1980,05,107.5
1980,06,114.4
1980,07,119.5
1980,08,123.4
1980,09,126.3
1980,10,130.1
1980,11,135.0
1980,12,133.7
1981,01,133.2
1981,02,128.3
1981,03,133.0
1981,04,134.6
1981,05,131.7
1981,06,132.3
1981,07,129.1
1981,08,130.0
1981,09,118.6
1981,10,119.5
1981,11,122.7
1981,12,123.9
1982,01,117.4
1982,02,114.8
1982,03,110.9
1982,04,116.1
1982,05,116.6
1982,06,109.8
1982,07,109.5
1982,08,109.1
1982,09,122.4
1982,10,132.0
1982,11,137.9
1982,12,139.3
1983,01,144.0
1983,02,146.7
1983,03,151.7
1983,04,157.1
1983,05,164.2
1983,06,166.2
1983,07,167.0
1983,08,162.3
1983,09,167.1
1983,10,167.8
1983,11,165.1
1983,12,164.4
1984,01,166.5
1984,02,157.5
1984,03,157.3
1984,04,157.6
1984,05,157.0
1984,06,153.0
1984,07,151.2
1984,08,163.8
1984,09,166.2
1984,10,164.8
1984,11,166.4
1984,12,164.3
1985,01,171.0
1985,02,180.8
1985,03,179.4
1985,04,180.7
1985,05,184.5
1985,06,188.7
1985,07,192.6
1985,08,188.4
1985,09,184.6
1985,10,185.8
1985,11,196.8
1985,12,206.8
1986,01,208.2
1986,02,218.6
1986,03,231.7
1986,04,238.1
1986,05,237.9
1986,06,245.1
1986,07,240.8
1986,08,244.2
1986,09,239.1
1986,10,236.8
1986,11,244.8
1986,12,248.9
1987,01,263.0
1987,02,280.4
1987,03,292.1
1987,04,289.5
1987,05,289.0
1987,06,300.8
1987,07,309.5
1987,08,328.9
1987,09,319.0
1987,10,283.4
1987,11,246.1
1987,12,240.2
1988,01,250.0
1988,02,257.6
1988,03,266.1
1988,04,262.5
1988,05,256.1
1988,06,270.2
1988,07,269.1
1988,08,264.2
1988,09,267.5
1988,10,277.1
1988,11,271.3
1988,12,276.5
1989,01,284.5
1989,02,294.5
1989,03,292.4
1989,04,301.5
1989,05,313.4
1989,06,323.8
1989,07,330.5
1989,08,346.4
1989,09,347.4
1989,10,347.8
1989,11,340.0
1989,12,348.2
1990,01,341.1
1990,02,330.3
1990,03,338.1
1990,04,338.6
1990,05,348.9
1990,06,360.6
1990,07,360.1
1990,08,332.2
1990,09,316.3
1990,10,307.2
1990,11,314.4
1990,12,328.3
1991,01,324.9
1991,02,361.0
1991,03,371.9
1991,04,379.7
1991,05,377.3
1991,06,379.2
1991,07,379.5
1991,08,389.1
1991,09,387.6
1991,10,386.7
1991,11,386.8
1991,12,386.5
1992,01,416.4
1992,02,412.4
1992,03,407.8
1992,04,406.9
1992,05,414.8
1992,06,408.6
1992,07,414.3
1992,08,418.4
1992,09,418.3
1992,10,412.5
1992,11,422.2
1992,12,435.4
1993,01,435.1
1993,02,441.5
1993,03,449.8
1993,04,443.6
1993,05,444.8
1993,06,448.0
1993,07,447.4
1993,08,453.4
1993,09,459.5
1993,10,463.5
1993,11,463.2
1993,12,465.7
1994,01,472.3
1994,02,472.3
1994,03,464.7
1994,04,447.0
1994,05,450.6
1994,06,455.4
1994,07,450.7
1994,08,463.5
1994,09,467.6
1994,10,463.4
1994,11,461.9
1994,12,454.9
1995,01,464.7
1995,02,481.0
1995,03,492.6
1995,04,507.2
1995,05,523.0
1995,06,538.9
1995,07,556.4
1995,08,559.1
1995,09,577.6
1995,10,583.1
1995,11,594.4
1995,12,614.0
1996,01,613.5
1996,02,649.3
1996,03,646.8
1996,04,646.8
1996,05,660.6
1996,06,668.4
1996,07,645.4
1996,08,662.1
1996,09,673.1
1996,10,700.7
1996,11,733.1
1996,12,744.0
1997,01,764.2
1997,02,798.1
1997,03,793.8
1997,04,761.9
1997,05,830.9
1997,06,874.5
1997,07,922.2
1997,08,930.3
1997,09,934.7
1997,10,952.6
1997,11,936.8
1997,12,961.7
1998,01,962.9
1998,02,1020.1
1998,03,1074.4
1998,04,1111.7
1998,05,1109.5
1998,06,1106.4
1998,07,1157.2
1998,08,1082.4
1998,09,1017.8
1998,10,1028.8
1998,11,1141.2
1998,12,1187.1
1999,01,1246.1
1999,02,1248.8
1999,03,1279.6
1999,04,1332.4
1999,05,1333.7
1999,06,1319.3
1999,07,1383.1
1999,08,1327.9
1999,09,1320.0
1999,10,1296.2
1999,11,1389.8
1999,12,1425.0
2000,01,1429.3
2000,02,1390.3
2000,03,1436.5
2000,04,1463.8
2000,05,1419.9
2000,06,1460.4
2000,07,1474.2
2000,08,1481.7
2000,09,1472.1
2000,10,1390.5
2000,11,1380.6
2000,12,1330.7
2001,01,1333.5
2001,02,1312.4
2001,03,1189.5
2001,04,1185.4
2001,05,1270.2
2001,06,1240.2
2001,07,1205.1
2001,08,1181.9
2001,09,1050.8
2001,10,1075.8
2001,11,1125.9
2001,12,1144.4
2002,01,1141.1
2002,02,1101.9
2002,03,1151.8
2002,04,1115.2
2002,05,1079.7
2002,06,1017.9
2002,07,907.1
2002,08,912.0
2002,09,872.9
2002,10,851.4
2002,11,907.4
2002,12,901.8
2003,01,897.0
2003,02,838.4
2003,03,846.3
2003,04,886.8
2003,05,933.7
2003,06,987.5
2003,07,991.8
2003,08,988.7
2003,09,1020.0
2003,10,1036.4
2003,11,1049.5
2003,12,1078.2
2004,01,1131.6
2004,02,1142.7
2004,03,1124.8
2004,04,1134.0
2004,05,1102.1
2004,06,1131.8
2004,07,1107.7
2004,08,1088.8
2004,09,1117.2
2004,10,1117.3
2004,11,1166.9
2004,12,1197.5
2005,01,1182.9
2005,02,1198.5
2005,03,1195.9
2005,04,1165.5
2005,05,1176.6
2005,06,1202.3
2005,07,1220.1
2005,08,1224.9
2005,09,1225.5
2005,10,1193.0
2005,11,1235.3
2005,12,1262.1
2006,01,1277.1
2006,02,1276.6
2006,03,1293.1
2006,04,1301.8
2006,05,1291.7
2006,06,1253.0
2006,07,1259.9
2006,08,1285.9
2006,09,1316.1
2006,10,1361.4
2006,11,1387.4
2006,12,1415.4
2007,01,1422.9
2007,02,1446.3
2007,03,1406.2
2007,04,1460.5
2007,05,1508.8
2007,06,1515.7
2007,07,1523.0
2007,08,1453.7
2007,09,1494.3
2007,10,1539.3
2007,11,1466.3
2007,12,1480.2
2008,01,1382.3
2008,02,1357.6
2008,03,1316.9
2008,04,1367.9
2008,05,1402.5
2008,06,1346.2
2008,07,1257.7
2008,08,1279.9
2008,09,1222.7
2008,10,976.9
2008,11,886.7
2008,12,877.2
2009,01,868.4
2009,02,808.9
2009,03,754.1
2009,04,844.3
2009,05,899.8
2009,06,926.1
2009,07,932.4
2009,08,1007.8
2009,09,1043.0
2009,10,1068.9
2009,11,1085.0
2009,12,1110.2
2010,01,1125.5
2010,02,1087.5
2010,03,1149.4
2010,04,1196.4
2010,05,1129.1
2010,06,1086.3
2010,07,1076.8
2010,08,1088.5
2010,09,1118.3
2010,10,1170.0
2010,11,1198.2
2010,12,1238.9
2011,01,1281.4
2011,02,1318.3
2011,03,1304.6
2011,04,1330.0
2011,05,1338.8
2011,06,1288.4
2011,07,1326.7
2011,08,1188.3
2011,09,1178.0
2011,10,1201.6
2011,11,1226.7
2011,12,1242.9
2012,01,1297.9
2012,02,1349.7
2012,03,1387.3
2012,04,1386.9
2012,05,1345.1
2012,06,1321.1
2012,07,1358.9
2012,08,1402.3
2012,09,1441.6
2012,10,1439.2
2012,11,1394.3
2012,12,1421.8
2013,01,1477.0
2013,02,1511.4
2013,03,1548.1
2013,04,1569.4
2013,05,1637.8
2013,06,1620.4
2013,07,1665.8
2013,08,1672.0
2013,09,1685.4
2013,10,1716.9
2013,11,1781.5
2013,12,1806.4
2014,01,1825.7
2014,02,1813.0
2014,03,1863.5
2014,04,1864.5
2014,05,1888.0
2014,06,1945.1
2014,07,1974.6
2014,08,1958.7
2014,09,1994.4
2014,10,1935.4
2014,11,2042.3
2014,12,2054.7
2015,01,2031.4
2015,02,2076.6
2015,03,2081.5
2015,04,2094.0
2015,05,2111.1
2015,06,2101.4
2015,07,2093.0
2015,08,2045.9
2015,09,1947.3
2015,10,2017.9
2015,11,2080.3
2015,12,2056.0
2016,01,1924.6
2016,02,1904.8
2016,03,2015.6
2016,04,2075.1
2016,05,2064.1
2016,06,2083.5
2016,07,2145.6
2016,08,2177.6
2016,09,2157.6
2016,10,2146.2
2016,11,2161.8
2016,12,2246.1
2017,01,2273.5
2017,02,2325.6
2017,03,2366.9
2017,04,2360.2
2017,05,2394.5
2017,06,2434.7
2017,07,2453.0
2017,08,2456.7
2017,09,2491.3
2017,10,2555.8
2017,11,2590.3
2017,12,2666.1
2018,01,2785.7
2018,02,2710.3
2018,03,2707.9
2018,04,2657.6
2018,05,2699.1
2018,06,2755.0
2018,07,2789.5
2018,08,2854.5
2018,09,2901.6
2018,10,2796.1
2018,11,2719.7
2018,12,2580.7
2019,01,2597.9
2019,02,2750.1
2019,03,2803.6
2019,04,2900.8
2019,05,2855.4
2019,06,2887.7
2019,07,2995.8
2019,08,2901.2
2019,09,2982.1
2019,10,2977.0
2019,11,3101.6
2019,12,3175.3
2020,01,3276.8
2020,02,3285.6
2020,03,2653.2
2020,04,2758.6
2020,05,2919.7
2020,06,3106.3
2020,07,3203.6
2020,08,3384.9
2020,09,3374.0
2020,10,3423.2
2020,11,3346.3
