Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
94.0,OG Anunoby,27.0,NYK,PF,49.0,49.0,36.3,6.2,12.8,0.482,2.1,5.8,0.365,4.1,7.0,0.577,0.564,1.9,2.4,0.792,1.3,3.4,4.7,2.0,1.4,0.9,1.3,2.3,16.4,
95.0,Keyonte George,21.0,UTA,PG,44.0,32.0,31.6,5.3,13.5,0.395,2.5,7.5,0.334,2.8,5.9,0.471,0.488,3.3,4.0,0.818,0.4,3.2,3.6,6.0,0.7,0.2,2.9,1.8,16.4,
96.0,Kawhi Leonard,33.0,LAC,SF,15.0,15.0,26.0,6.5,14.1,0.464,1.5,4.3,0.359,5.0,9.8,0.51,0.519,1.7,2.1,0.813,0.6,4.0,4.6,2.7,1.0,0.5,2.1,1.3,16.3,
97.0,Jalen Suggs,23.0,ORL,PG,35.0,35.0,28.6,5.6,13.7,0.41,2.2,6.9,0.314,3.5,6.8,0.506,0.489,2.8,3.1,0.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,
98.0,Paul George,34.0,PHI,PF,35.0,35.0,32.1,5.9,13.9,0.426,2.3,6.5,0.363,3.6,7.4,0.481,0.51,2.0,2.4,0.821,0.6,4.7,5.3,4.4,1.8,0.5,2.6,2.5,16.1,
99.0,Derrick White,30.0,BOS,SG,52.0,52.0,33.7,5.5,12.5,0.441,3.3,8.8,0.378,2.2,3.7,0.592,0.574,1.8,2.1,0.838,0.9,3.3,4.2,4.3,0.8,1.1,1.6,1.8,16.1,
100.0,Damion Baugh,24.0,CHO,SG,1.0,0.0,27.0,5.0,8.0,0.625,2.0,4.0,0.5,3.0,4.0,0.75,0.75,4.0,4.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,2.0,3.0,16.0,
101.0,Devin Vassell,24.0,SAS,SG,37.0,26.0,30.5,6.1,13.9,0.437,2.3,6.4,0.354,3.8,7.5,0.507,0.518,1.5,2.0,0.753,0.6,2.9,3.5,2.9,1.2,0.5,1.5,1.5,15.9,
102.0,Mark Williams,23.0,CHO,C,23.0,20.0,25.0,6.1,10.4,0.586,0.0,0.0,0.0,6.1,10.3,0.588,0.586,3.4,4.3,0.78,3.3,6.3,9.6,2.5,0.7,1.2,1.0,2.6,15.6,
103.0,Kyle Kuzma,29.0,2TM,PF,36.0,33.0,28.3,5.9,14.1,0.42,1.4,4.9,0.275,4.6,9.1,0.498,0.468,2.1,3.4,0.618,0.8,5.3,6.1,2.5,0.6,0.2,2.3,1.8,15.3,
104.0,Kyle Kuzma,29.0,WAS,PF,32.0,30.0,27.7,6.0,14.2,0.42,1.4,5.0,0.281,4.6,9.2,0.495,0.469,1.8,3.1,0.602,0.8,4.9,5.8,2.5,0.6,0.2,2.3,1.6,15.2,
105.0,Kyle Kuzma,29.0,MIL,PF,4.0,3.0,33.3,5.5,13.0,0.423,1.0,4.5,0.222,4.5,8.5,0.529,0.462,4.3,6.3,0.68,0.8,7.8,8.5,2.5,0.5,0.3,2.8,2.8,16.3,
106.0,Jared McCain,20.0,PHI,SG,23.0,8.0,25.7,5.5,11.9,0.46,2.2,5.8,0.383,3.3,6.1,0.532,0.553,2.1,2.4,0.875,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,
107.0,Immanuel Quickley,25.0,TOR,PG,16.0,16.0,26.9,4.9,11.7,0.422,2.2,5.9,0.372,2.8,5.8,0.473,0.516,3.2,3.5,0.911,0.4,2.3,2.6,5.6,0.5,0.1,2.0,1.6,15.3,
108.0,Ivica Zubac,27.0,LAC,C,52.0,52.0,31.9,6.8,11.0,0.611,0.0,0.0,,6.8,11.0,0.611,0.611,1.7,2.7,0.627,3.8,8.8,12.6,2.5,0.8,1.1,1.7,2.0,15.2,
109.0,Myles Turner,28.0,IND,C,46.0,46.0,30.6,5.4,11.3,0.475,2.0,5.1,0.398,3.3,6.2,0.539,0.565,2.3,3.1,0.752,1.3,5.3,6.6,1.5,0.8,1.8,1.9,2.8,15.1,
110.0,Christian Braun,23.0,DEN,SG,54.0,52.0,33.1,5.9,10.1,0.578,1.0,2.6,0.373,4.9,7.5,0.649,0.626,2.3,2.8,0.828,1.3,3.8,5.1,2.2,1.1,0.6,1.0,2.2,15.0,
111.0,Gradey Dick,21.0,TOR,SG,48.0,48.0,29.5,5.1,12.4,0.414,2.1,6.2,0.345,3.0,6.3,0.482,0.499,2.6,3.0,0.881,0.8,2.6,3.4,1.8,0.9,0.2,1.5,2.3,15.0,
112.0,Jerami Grant,30.0,POR,PF,41.0,41.0,32.4,4.7,12.2,0.383,2.3,6.1,0.371,2.4,6.1,0.396,0.476,3.0,3.6,0.856,0.6,2.7,3.3,2.2,0.8,1.0,1.3,2.3,14.7,
113.0,Josh Hart,29.0,NYK,SG,53.0,53.0,37.8,5.7,10.2,0.556,1.1,3.3,0.337,4.5,6.9,0.66,0.61,2.3,2.8,0.812,2.2,7.4,9.6,5.7,1.5,0.4,2.0,2.7,14.7,
114.0,Chet Holmgren,22.0,OKC,C,13.0,13.0,26.3,5.0,10.2,0.489,1.3,3.5,0.378,3.7,6.8,0.545,0.553,3.4,4.5,0.746,1.5,6.9,8.5,1.8,1.0,2.8,2.2,2.0,14.7,
115.0,Fred VanVleet,30.0,HOU,PG,45.0,45.0,35.5,5.0,13.0,0.387,2.7,7.8,0.344,2.4,5.3,0.45,0.489,1.9,2.3,0.824,0.7,3.2,3.9,5.8,1.6,0.4,1.6,2.4,14.6,
116.0,Deni Avdija,24.0,POR,SF,52.0,34.0,28.7,4.8,10.4,0.459,1.5,4.4,0.339,3.3,6.1,0.544,0.529,3.4,4.4,0.778,1.2,5.1,6.3,3.4,1.0,0.5,2.5,2.3,14.5,
117.0,Kelly Oubre Jr.,29.0,PHI,SF,51.0,48.0,34.7,5.6,12.0,0.465,1.2,4.0,0.288,4.4,8.0,0.554,0.513,2.2,2.9,0.755,1.6,4.8,6.5,1.8,1.5,0.5,1.3,2.9,14.5,
118.0,Naz Reid,25.0,MIN,C,55.0,8.0,26.7,5.4,11.1,0.484,2.2,5.5,0.407,3.1,5.6,0.56,0.585,1.5,1.9,0.794,1.1,4.6,5.6,2.0,0.7,0.9,1.2,2.3,14.5,
119.0,Deandre Ayton,26.0,POR,C,40.0,40.0,30.2,6.6,11.7,0.566,0.2,0.8,0.188,6.5,10.9,0.594,0.573,1.0,1.5,0.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4,
120.0,Jakob Poeltl,29.0,TOR,C,45.0,44.0,30.9,6.2,10.2,0.61,0.0,0.0,0.0,6.2,10.2,0.613,0.61,1.7,2.6,0.658,3.5,6.6,10.1,2.8,1.2,1.3,1.9,3.3,14.2,
121.0,P.J. Washington,26.0,DAL,PF,43.0,42.0,32.6,5.1,11.7,0.437,1.6,4.2,0.378,3.5,7.5,0.47,0.505,2.5,3.3,0.757,1.6,6.6,8.2,2.3,1.2,1.0,1.9,2.4,14.2,
122.0,Tre Mann,23.0,CHO,PG,13.0,0.0,24.5,5.4,12.4,0.435,1.8,4.6,0.4,3.5,7.8,0.455,0.509,1.5,1.6,0.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1,
123.0,Dennis Schröder,31.0,3TM,PG,50.0,41.0,29.0,4.9,11.9,0.413,2.0,5.5,0.359,3.0,6.4,0.46,0.496,2.1,2.5,0.847,0.3,2.3,2.6,5.4,1.0,0.1,2.2,2.5,13.9,
